20:02:39 | INFO    | Model: alinet | Device: cuda
20:02:39 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
20:02:56 | INFO    | Params: 24.01M
20:02:56 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/alinet_zh_en_0_3_20260718-200239
20:02:56 | INFO    | Device: cuda:0 | entities=38960 2hop_edges=1354509 rep_dim=1000 seed_pairs=4500 test_pairs=10500
20:03:03 | INFO    | epoch   20/3000 | loss=0.3459
20:03:03 | INFO    |            [l2r] MRR=0.2748 Hit@1=0.1853 Hit@5=0.3670 Hit@10=0.4522 MR=226.0 | [r2l] MRR=0.2654 Hit@1=0.1770 Hit@5=0.3545 Hit@10=0.4367 MR=226.3 | [avg] MRR=0.2701 Hit@1=0.1812 Hit@5=0.3607 Hit@10=0.4444 MR=226.2
20:03:05 | INFO    |            -> new best MRR=0.2701 (saved model_best.pt)
20:03:09 | INFO    | epoch   40/3000 | loss=0.2057
20:03:09 | INFO    |            [l2r] MRR=0.2858 Hit@1=0.1880 Hit@5=0.3823 Hit@10=0.4855 MR=154.7 | [r2l] MRR=0.2828 Hit@1=0.1870 Hit@5=0.3798 Hit@10=0.4741 MR=151.1 | [avg] MRR=0.2843 Hit@1=0.1875 Hit@5=0.3810 Hit@10=0.4798 MR=152.9
20:03:11 | INFO    |            -> new best MRR=0.2843 (saved model_best.pt)
20:03:15 | INFO    | epoch   60/3000 | loss=0.1646
20:03:15 | INFO    |            [l2r] MRR=0.3073 Hit@1=0.2028 Hit@5=0.4147 Hit@10=0.5221 MR=132.9 | [r2l] MRR=0.3073 Hit@1=0.2055 Hit@5=0.4117 Hit@10=0.5140 MR=128.6 | [avg] MRR=0.3073 Hit@1=0.2041 Hit@5=0.4132 Hit@10=0.5180 MR=130.8
20:03:17 | INFO    |            -> new best MRR=0.3073 (saved model_best.pt)
20:03:20 | INFO    | epoch   80/3000 | loss=0.1451
20:03:20 | INFO    |            [l2r] MRR=0.3300 Hit@1=0.2211 Hit@5=0.4459 Hit@10=0.5519 MR=118.9 | [r2l] MRR=0.3240 Hit@1=0.2156 Hit@5=0.4370 Hit@10=0.5429 MR=115.1 | [avg] MRR=0.3270 Hit@1=0.2184 Hit@5=0.4414 Hit@10=0.5474 MR=117.0
20:03:22 | INFO    |            -> new best MRR=0.3270 (saved model_best.pt)
20:03:26 | INFO    | epoch  100/3000 | loss=0.1331 | hard-neg refreshed
20:03:26 | INFO    |            [l2r] MRR=0.3470 Hit@1=0.2369 Hit@5=0.4650 Hit@10=0.5724 MR=110.1 | [r2l] MRR=0.3423 Hit@1=0.2326 Hit@5=0.4573 Hit@10=0.5665 MR=105.1 | [avg] MRR=0.3446 Hit@1=0.2347 Hit@5=0.4612 Hit@10=0.5694 MR=107.6
20:03:29 | INFO    |            -> new best MRR=0.3446 (saved model_best.pt)
20:03:32 | INFO    | epoch  120/3000 | loss=0.4753 | hard-neg refreshed
20:03:33 | INFO    |            [l2r] MRR=0.4068 Hit@1=0.2878 Hit@5=0.5382 Hit@10=0.6469 MR=107.7 | [r2l] MRR=0.4056 Hit@1=0.2905 Hit@5=0.5348 Hit@10=0.6408 MR=102.5 | [avg] MRR=0.4062 Hit@1=0.2891 Hit@5=0.5365 Hit@10=0.6438 MR=105.1
20:03:34 | INFO    |            -> new best MRR=0.4062 (saved model_best.pt)
20:03:38 | INFO    | epoch  140/3000 | loss=0.4281 | hard-neg refreshed
20:03:38 | INFO    |            [l2r] MRR=0.4624 Hit@1=0.3418 Hit@5=0.6049 Hit@10=0.7051 MR=102.0 | [r2l] MRR=0.4582 Hit@1=0.3374 Hit@5=0.5969 Hit@10=0.6973 MR=98.8 | [avg] MRR=0.4603 Hit@1=0.3396 Hit@5=0.6009 Hit@10=0.7012 MR=100.4
20:03:40 | INFO    |            -> new best MRR=0.4603 (saved model_best.pt)
20:03:44 | INFO    | epoch  160/3000 | loss=0.3895 | hard-neg refreshed
20:03:44 | INFO    |            [l2r] MRR=0.5012 Hit@1=0.3845 Hit@5=0.6416 Hit@10=0.7320 MR=97.1 | [r2l] MRR=0.4977 Hit@1=0.3816 Hit@5=0.6359 Hit@10=0.7253 MR=95.2 | [avg] MRR=0.4995 Hit@1=0.3830 Hit@5=0.6388 Hit@10=0.7287 MR=96.1
