04:26:49 | INFO    | Model: bootea | Device: cuda
04:26:50 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
04:26:52 | INFO    | Params: 12.60M
04:26:52 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/bootea_zh_en_0_3_20260718-042649
04:26:52 | INFO    | Device: cuda:0 | entities=38960 relations=3024 base_triples=165556 triples(+seed-swap)=246959 seed_pairs=4500 test_pairs=10500
04:26:54 | INFO    | epoch    1/500 | loss=2.4691 (kge=1.4112 align=0.2116 pseudo=0.0000)
04:26:55 | INFO    | epoch    2/500 | loss=1.1348 (kge=1.1045 align=0.0061 pseudo=0.0000)
04:26:56 | INFO    | epoch    3/500 | loss=0.9829 (kge=0.9615 align=0.0043 pseudo=0.0000)
04:26:57 | INFO    | epoch    4/500 | loss=0.8871 (kge=0.8728 align=0.0029 pseudo=0.0000)
04:26:58 | INFO    | epoch    5/500 | loss=0.8122 (kge=0.8026 align=0.0019 pseudo=0.0000)
04:26:59 | INFO    | epoch    6/500 | loss=0.7462 (kge=0.7407 align=0.0011 pseudo=0.0000)
04:27:00 | INFO    | epoch    7/500 | loss=0.6890 (kge=0.6856 align=0.0007 pseudo=0.0000)
04:27:02 | INFO    | epoch    8/500 | loss=0.6392 (kge=0.6355 align=0.0007 pseudo=0.0000)
04:27:03 | INFO    | epoch    9/500 | loss=0.5967 (kge=0.5918 align=0.0010 pseudo=0.0000)
04:27:04 | INFO    | epoch   10/500 | loss=0.5602 (kge=0.5534 align=0.0014 pseudo=0.0000) | hard-neg refreshed | eps-trunc refreshed
04:27:04 | INFO    |            [l2r] MRR=0.4525 Hit@1=0.3227 Hit@5=0.6068 Hit@10=0.7080 MR=69.2 | [r2l] MRR=0.4284 Hit@1=0.3070 Hit@5=0.5709 Hit@10=0.6682 MR=64.5 | [avg] MRR=0.4404 Hit@1=0.3149 Hit@5=0.5888 Hit@10=0.6881 MR=66.8
04:27:04 | INFO    |            -> new best MRR=0.4404 (saved model_best.pt)
04:27:06 | INFO    | epoch   11/500 | loss=1.1777 (kge=0.8110 align=0.0733 pseudo=0.0000)
04:27:07 | INFO    | epoch   12/500 | loss=0.9734 (kge=0.8567 align=0.0233 pseudo=0.0000)
04:27:08 | INFO    | epoch   13/500 | loss=0.9286 (kge=0.8428 align=0.0172 pseudo=0.0000)
04:27:09 | INFO    | epoch   14/500 | loss=0.9056 (kge=0.8303 align=0.0151 pseudo=0.0000)
04:27:10 | INFO    | epoch   15/500 | loss=0.8914 (kge=0.8210 align=0.0141 pseudo=0.0000) | hard-neg refreshed | eps-trunc refreshed
04:27:11 | INFO    | epoch   16/500 | loss=0.9315 (kge=0.8441 align=0.0175 pseudo=0.0000)
04:27:12 | INFO    | epoch   17/500 | loss=0.8950 (kge=0.8295 align=0.0131 pseudo=0.0000)
04:27:13 | INFO    | epoch   18/500 | loss=0.8828 (kge=0.8167 align=0.0132 pseudo=0.0000)
04:27:14 | INFO    | epoch   19/500 | loss=0.8706 (kge=0.8076 align=0.0126 pseudo=0.0000)
04:27:16 | INFO    | epoch   20/500 | loss=0.8594 (kge=0.8003 align=0.0118 pseudo=0.0000) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 3921 pseudo-pairs (beta=1.0)
04:27:16 | INFO    |            [l2r] MRR=0.5367 Hit@1=0.4106 Hit@5=0.6928 Hit@10=0.7758 MR=118.8 | [r2l] MRR=0.5163 Hit@1=0.3950 Hit@5=0.6669 Hit@10=0.7543 MR=103.9 | [avg] MRR=0.5265 Hit@1=0.4028 Hit@5=0.6798 Hit@10=0.7650 MR=111.3
04:27:17 | INFO    |            -> new best MRR=0.5265 (saved model_best.pt)
04:27:19 | INFO    | epoch   21/500 | loss=0.9396 (kge=0.8332 align=0.0141 pseudo=0.0357)
04:27:21 | INFO    | epoch   22/500 | loss=0.8758 (kge=0.8174 align=0.0115 pseudo=0.0011)
04:27:22 | INFO    | epoch   23/500 | loss=0.8620 (kge=0.8088 align=0.0104 pseudo=0.0010)
04:27:24 | INFO    | epoch   24/500 | loss=0.8545 (kge=0.8031 align=0.0101 pseudo=0.0011)
04:27:27 | INFO    | epoch   25/500 | loss=0.8488 (kge=0.7986 align=0.0098 pseudo=0.0010) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 5095 pseudo-pairs (beta=1.0)
04:27:29 | INFO    | epoch   26/500 | loss=0.8767 (kge=0.8134 align=0.0111 pseudo=0.0076)
04:27:31 | INFO    | epoch   27/500 | loss=0.8542 (kge=0.8048 align=0.0096 pseudo=0.0012)
04:27:33 | INFO    | epoch   28/500 | loss=0.8473 (kge=0.7995 align=0.0093 pseudo=0.0012)
04:27:35 | INFO    | epoch   29/500 | loss=0.8436 (kge=0.7961 align=0.0092 pseudo=0.0013)
04:27:38 | INFO    | epoch   30/500 | loss=0.8401 (kge=0.7934 align=0.0091 pseudo=0.0012) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 5673 pseudo-pairs (beta=1.0)
04:27:38 | INFO    |            [l2r] MRR=0.6037 Hit@1=0.4823 Hit@5=0.7575 Hit@10=0.8337 MR=70.7 | [r2l] MRR=0.5914 Hit@1=0.4716 Hit@5=0.7387 Hit@10=0.8125 MR=61.4 | [avg] MRR=0.5975 Hit@1=0.4770 Hit@5=0.7481 Hit@10=0.8231 MR=66.0
04:27:38 | INFO    |            -> new best MRR=0.5975 (saved model_best.pt)
