20:28:24 | INFO    | Model: dgmc | Device: cuda
20:28:30 | INFO    | Data: {'pair': 'zh_en', 'num_features': 300, '|src nodes|': 19388, '|tgt nodes|': 19572, '|src edges|': 70414, '|tgt edges|': 95142, 'train_y': 4500, 'test_y': 10500}
20:28:33 | INFO    | Params: 0.91M
20:28:33 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/dgmc_zh_en_20260718-202824
20:28:33 | INFO    | Device: cuda:0 | src=19388 tgt=19572 feat=300 train_y=4500 test_y=10500
20:28:33 | INFO    | Phase 1 (1..100): local feature matching (num_steps=0).
20:28:36 | INFO    | epoch   10/300 | loss=1.1660 | Hit@1=0.6860 Hit@10=0.8191 MRR=0.7332
20:28:36 | INFO    |            -> new best Hit@1=0.6860 (saved model_best.pt)
20:28:37 | INFO    | epoch   20/300 | loss=0.4744 | Hit@1=0.6962 Hit@10=0.8296 MRR=0.7430
20:28:37 | INFO    |            -> new best Hit@1=0.6962 (saved model_best.pt)
20:28:38 | INFO    | epoch   30/300 | loss=0.2161 | Hit@1=0.6935 Hit@10=0.8259 MRR=0.7407
20:28:39 | INFO    | epoch   40/300 | loss=0.1253 | Hit@1=0.6916 Hit@10=0.8243 MRR=0.7389
20:28:40 | INFO    | epoch   50/300 | loss=0.0865 | Hit@1=0.6909 Hit@10=0.8226 MRR=0.7377
20:28:41 | INFO    | epoch   60/300 | loss=0.0628 | Hit@1=0.6897 Hit@10=0.8203 MRR=0.7365
20:28:42 | INFO    | epoch   70/300 | loss=0.0500 | Hit@1=0.6901 Hit@10=0.8198 MRR=0.7365
20:28:44 | INFO    | epoch   80/300 | loss=0.0417 | Hit@1=0.6886 Hit@10=0.8183 MRR=0.7351
20:28:45 | INFO    | epoch   90/300 | loss=0.0357 | Hit@1=0.6887 Hit@10=0.8168 MRR=0.7349
20:28:46 | INFO    | epoch  100/300 | loss=0.0302 | Hit@1=0.6882 Hit@10=0.8158 MRR=0.7343
20:28:46 | INFO    | Phase 2 (>100): consensus refinement (num_steps=10, detach psi_1).
20:28:47 | INFO    | epoch  101/300 | loss=1.1560 | Hit@1=0.6116 Hit@10=0.8216 MRR=0.6869
20:28:47 | INFO    | epoch  102/300 | loss=0.5080 | Hit@1=0.6455 Hit@10=0.8170 MRR=0.7058
20:28:48 | INFO    | epoch  103/300 | loss=0.2796 | Hit@1=0.6645 Hit@10=0.8100 MRR=0.7156
20:28:49 | INFO    | epoch  104/300 | loss=0.2898 | Hit@1=0.6752 Hit@10=0.7992 MRR=0.7172
20:28:50 | INFO    | epoch  105/300 | loss=0.3877 | Hit@1=0.6816 Hit@10=0.7970 MRR=0.7201
20:28:50 | INFO    | epoch  106/300 | loss=0.4110 | Hit@1=0.6915 Hit@10=0.7988 MRR=0.7282
20:28:51 | INFO    | epoch  107/300 | loss=0.3889 | Hit@1=0.6930 Hit@10=0.8011 MRR=0.7297
20:28:52 | INFO    | epoch  108/300 | loss=0.4159 | Hit@1=0.7100 Hit@10=0.8054 MRR=0.7417
20:28:52 | INFO    |            -> new best Hit@1=0.7100 (saved model_best.pt)
20:28:53 | INFO    | epoch  109/300 | loss=0.4325 | Hit@1=0.7111 Hit@10=0.8088 MRR=0.7440
20:28:53 | INFO    |            -> new best Hit@1=0.7111 (saved model_best.pt)
20:28:53 | INFO    | epoch  110/300 | loss=0.4553 | Hit@1=0.7156 Hit@10=0.8130 MRR=0.7489
20:28:54 | INFO    |            -> new best Hit@1=0.7156 (saved model_best.pt)
20:28:54 | INFO    | epoch  111/300 | loss=0.4582 | Hit@1=0.7188 Hit@10=0.8154 MRR=0.7507
20:28:55 | INFO    |            -> new best Hit@1=0.7188 (saved model_best.pt)
20:28:55 | INFO    | epoch  112/300 | loss=0.4264 | Hit@1=0.7190 Hit@10=0.8173 MRR=0.7521
20:28:55 | INFO    |            -> new best Hit@1=0.7190 (saved model_best.pt)
20:28:56 | INFO    | epoch  113/300 | loss=0.3912 | Hit@1=0.7201 Hit@10=0.8186 MRR=0.7532
20:28:56 | INFO    |            -> new best Hit@1=0.7201 (saved model_best.pt)
20:28:57 | INFO    | epoch  114/300 | loss=0.3928 | Hit@1=0.7221 Hit@10=0.8187 MRR=0.7556
20:28:57 | INFO    |            -> new best Hit@1=0.7221 (saved model_best.pt)
20:28:57 | INFO    | epoch  115/300 | loss=0.3587 | Hit@1=0.7250 Hit@10=0.8174 MRR=0.7572
20:28:58 | INFO    |            -> new best Hit@1=0.7250 (saved model_best.pt)
20:28:58 | INFO    | epoch  116/300 | loss=0.3178 | Hit@1=0.7246 Hit@10=0.8213 MRR=0.7575
20:28:59 | INFO    | epoch  117/300 | loss=0.2862 | Hit@1=0.7241 Hit@10=0.8213 MRR=0.7575
20:29:00 | INFO    | epoch  118/300 | loss=0.3013 | Hit@1=0.7298 Hit@10=0.8245 MRR=0.7620
20:29:00 | INFO    |            -> new best Hit@1=0.7298 (saved model_best.pt)
20:29:00 | INFO    | epoch  119/300 | loss=0.2635 | Hit@1=0.7344 Hit@10=0.8246 MRR=0.7651
20:29:01 | INFO    |            -> new best Hit@1=0.7344 (saved model_best.pt)
20:29:01 | INFO    | epoch  120/300 | loss=0.2166 | Hit@1=0.7360 Hit@10=0.8266 MRR=0.7669
20:29:02 | INFO    |            -> new best Hit@1=0.7360 (saved model_best.pt)
20:29:02 | INFO    | epoch  121/300 | loss=0.1735 | Hit@1=0.7382 Hit@10=0.8276 MRR=0.7693
20:29:03 | INFO    |            -> new best Hit@1=0.7382 (saved model_best.pt)
20:29:03 | INFO    | epoch  122/300 | loss=0.1804 | Hit@1=0.7378 Hit@10=0.8274 MRR=0.7688
20:29:04 | INFO    | epoch  123/300 | loss=0.1674 | Hit@1=0.7370 Hit@10=0.8305 MRR=0.7692
20:29:04 | INFO    | epoch  124/300 | loss=0.1477 | Hit@1=0.7397 Hit@10=0.8303 MRR=0.7707
20:29:05 | INFO    |            -> new best Hit@1=0.7397 (saved model_best.pt)
20:29:05 | INFO    | epoch  125/300 | loss=0.1212 | Hit@1=0.7432 Hit@10=0.8330 MRR=0.7748
20:29:06 | INFO    |            -> new best Hit@1=0.7432 (saved model_best.pt)
20:29:06 | INFO    | epoch  126/300 | loss=0.1244 | Hit@1=0.7450 Hit@10=0.8337 MRR=0.7752
20:29:06 | INFO    |            -> new best Hit@1=0.7450 (saved model_best.pt)
20:29:07 | INFO    | epoch  127/300 | loss=0.1198 | Hit@1=0.7430 Hit@10=0.8338 MRR=0.7741
