04:46:45 | INFO    | Model: kecg | Device: cuda
04:46:46 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
04:46:48 | INFO    | Params: 5.38M
04:46:48 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/kecg_zh_en_0_3_20260718-044645
04:46:48 | INFO    | Device: cuda:0 | entities=38960 edges=298096 rep_dim=128 seed_pairs=4500 test_pairs=10500
04:46:50 | INFO    | epoch   25/3000 | loss=0.3666
04:46:50 | INFO    |            [l2r] MRR=0.3502 Hit@1=0.2319 Hit@5=0.4805 Hit@10=0.5980 MR=138.5 | [r2l] MRR=0.3077 Hit@1=0.1995 Hit@5=0.4247 Hit@10=0.5367 MR=203.6 | [avg] MRR=0.3290 Hit@1=0.2157 Hit@5=0.4526 Hit@10=0.5673 MR=171.0
04:46:51 | INFO    |            -> new best MRR=0.3290 (saved model_best.pt)
04:46:52 | INFO    | epoch   50/3000 | loss=2.9420
04:46:52 | INFO    |            [l2r] MRR=0.4098 Hit@1=0.2872 Hit@5=0.5528 Hit@10=0.6637 MR=95.2 | [r2l] MRR=0.3719 Hit@1=0.2544 Hit@5=0.5053 Hit@10=0.6146 MR=134.7 | [avg] MRR=0.3908 Hit@1=0.2708 Hit@5=0.5290 Hit@10=0.6391 MR=114.9
04:46:52 | INFO    |            -> new best MRR=0.3908 (saved model_best.pt)
04:46:54 | INFO    | epoch   75/3000 | loss=0.1310
04:46:54 | INFO    |            [l2r] MRR=0.4417 Hit@1=0.3172 Hit@5=0.5866 Hit@10=0.6964 MR=82.1 | [r2l] MRR=0.4087 Hit@1=0.2890 Hit@5=0.5501 Hit@10=0.6533 MR=115.2 | [avg] MRR=0.4252 Hit@1=0.3031 Hit@5=0.5683 Hit@10=0.6749 MR=98.6
04:46:54 | INFO    |            -> new best MRR=0.4252 (saved model_best.pt)
04:46:56 | INFO    | epoch  100/3000 | loss=2.9174
04:46:56 | INFO    |            [l2r] MRR=0.4662 Hit@1=0.3420 Hit@5=0.6151 Hit@10=0.7219 MR=75.9 | [r2l] MRR=0.4361 Hit@1=0.3154 Hit@5=0.5820 Hit@10=0.6828 MR=103.3 | [avg] MRR=0.4511 Hit@1=0.3287 Hit@5=0.5986 Hit@10=0.7023 MR=89.6
04:46:56 | INFO    |            -> new best MRR=0.4511 (saved model_best.pt)
04:46:58 | INFO    | epoch  125/3000 | loss=0.0722
04:46:58 | INFO    |            [l2r] MRR=0.4819 Hit@1=0.3579 Hit@5=0.6295 Hit@10=0.7358 MR=72.3 | [r2l] MRR=0.4543 Hit@1=0.3326 Hit@5=0.6018 Hit@10=0.7038 MR=94.7 | [avg] MRR=0.4681 Hit@1=0.3452 Hit@5=0.6157 Hit@10=0.7198 MR=83.5
04:46:58 | INFO    |            -> new best MRR=0.4681 (saved model_best.pt)
04:46:59 | INFO    | epoch  150/3000 | loss=2.8971
04:46:59 | INFO    |            [l2r] MRR=0.4974 Hit@1=0.3729 Hit@5=0.6484 Hit@10=0.7482 MR=70.3 | [r2l] MRR=0.4726 Hit@1=0.3512 Hit@5=0.6180 Hit@10=0.7190 MR=88.5 | [avg] MRR=0.4850 Hit@1=0.3620 Hit@5=0.6332 Hit@10=0.7336 MR=79.4
04:47:00 | INFO    |            -> new best MRR=0.4850 (saved model_best.pt)
04:47:01 | INFO    | epoch  175/3000 | loss=0.0564
04:47:01 | INFO    |            [l2r] MRR=0.5088 Hit@1=0.3850 Hit@5=0.6593 Hit@10=0.7571 MR=69.6 | [r2l] MRR=0.4846 Hit@1=0.3627 Hit@5=0.6284 Hit@10=0.7308 MR=84.5 | [avg] MRR=0.4967 Hit@1=0.3739 Hit@5=0.6439 Hit@10=0.7440 MR=77.1
04:47:02 | INFO    |            -> new best MRR=0.4967 (saved model_best.pt)
04:47:03 | INFO    | epoch  200/3000 | loss=2.8797
04:47:03 | INFO    |            [l2r] MRR=0.5190 Hit@1=0.3970 Hit@5=0.6690 Hit@10=0.7668 MR=69.0 | [r2l] MRR=0.4967 Hit@1=0.3757 Hit@5=0.6429 Hit@10=0.7412 MR=80.9 | [avg] MRR=0.5079 Hit@1=0.3863 Hit@5=0.6559 Hit@10=0.7540 MR=74.9
04:47:04 | INFO    |            -> new best MRR=0.5079 (saved model_best.pt)
04:47:05 | INFO    | epoch  225/3000 | loss=0.0526
04:47:05 | INFO    |            [l2r] MRR=0.5253 Hit@1=0.4024 Hit@5=0.6765 Hit@10=0.7726 MR=68.6 | [r2l] MRR=0.5051 Hit@1=0.3841 Hit@5=0.6504 Hit@10=0.7484 MR=78.3 | [avg] MRR=0.5152 Hit@1=0.3932 Hit@5=0.6634 Hit@10=0.7605 MR=73.5
04:47:06 | INFO    |            -> new best MRR=0.5152 (saved model_best.pt)
04:47:07 | INFO    | epoch  250/3000 | loss=2.8632
04:47:07 | INFO    |            [l2r] MRR=0.5305 Hit@1=0.4070 Hit@5=0.6819 Hit@10=0.7795 MR=67.9 | [r2l] MRR=0.5142 Hit@1=0.3946 Hit@5=0.6584 Hit@10=0.7560 MR=75.7 | [avg] MRR=0.5223 Hit@1=0.4008 Hit@5=0.6701 Hit@10=0.7678 MR=71.8
04:47:08 | INFO    |            -> new best MRR=0.5223 (saved model_best.pt)
04:47:09 | INFO    | epoch  275/3000 | loss=0.0508
04:47:09 | INFO    |            [l2r] MRR=0.5368 Hit@1=0.4141 Hit@5=0.6867 Hit@10=0.7817 MR=67.5 | [r2l] MRR=0.5206 Hit@1=0.4009 Hit@5=0.6648 Hit@10=0.7600 MR=73.7 | [avg] MRR=0.5287 Hit@1=0.4075 Hit@5=0.6757 Hit@10=0.7709 MR=70.6
04:47:10 | INFO    |            -> new best MRR=0.5287 (saved model_best.pt)
04:47:11 | INFO    | epoch  300/3000 | loss=2.8471
04:47:11 | INFO    |            [l2r] MRR=0.5415 Hit@1=0.4194 Hit@5=0.6914 Hit@10=0.7868 MR=67.0 | [r2l] MRR=0.5261 Hit@1=0.4064 Hit@5=0.6711 Hit@10=0.7650 MR=71.5 | [avg] MRR=0.5338 Hit@1=0.4129 Hit@5=0.6813 Hit@10=0.7759 MR=69.3
04:47:11 | INFO    |            -> new best MRR=0.5338 (saved model_best.pt)
04:47:13 | INFO    | epoch  325/3000 | loss=0.0505
04:47:13 | INFO    |            [l2r] MRR=0.5445 Hit@1=0.4221 Hit@5=0.6950 Hit@10=0.7904 MR=66.7 | [r2l] MRR=0.5288 Hit@1=0.4079 Hit@5=0.6742 Hit@10=0.7689 MR=70.1 | [avg] MRR=0.5366 Hit@1=0.4150 Hit@5=0.6846 Hit@10=0.7796 MR=68.4
04:47:13 | INFO    |            -> new best MRR=0.5366 (saved model_best.pt)
04:47:15 | INFO    | epoch  350/3000 | loss=2.8309
04:47:15 | INFO    |            [l2r] MRR=0.5480 Hit@1=0.4254 Hit@5=0.6987 Hit@10=0.7934 MR=66.3 | [r2l] MRR=0.5334 Hit@1=0.4130 Hit@5=0.6779 Hit@10=0.7724 MR=68.5 | [avg] MRR=0.5407 Hit@1=0.4192 Hit@5=0.6883 Hit@10=0.7829 MR=67.4
04:47:15 | INFO    |            -> new best MRR=0.5407 (saved model_best.pt)
04:47:17 | INFO    | epoch  375/3000 | loss=0.0506
04:47:17 | INFO    |            [l2r] MRR=0.5511 Hit@1=0.4290 Hit@5=0.7012 Hit@10=0.7974 MR=66.1 | [r2l] MRR=0.5369 Hit@1=0.4170 Hit@5=0.6808 Hit@10=0.7753 MR=67.4 | [avg] MRR=0.5440 Hit@1=0.4230 Hit@5=0.6910 Hit@10=0.7864 MR=66.8
04:47:17 | INFO    |            -> new best MRR=0.5440 (saved model_best.pt)
04:47:19 | INFO    | epoch  400/3000 | loss=2.8146
04:47:19 | INFO    |            [l2r] MRR=0.5544 Hit@1=0.4329 Hit@5=0.7041 Hit@10=0.8000 MR=65.7 | [r2l] MRR=0.5403 Hit@1=0.4208 Hit@5=0.6831 Hit@10=0.7778 MR=66.0 | [avg] MRR=0.5473 Hit@1=0.4268 Hit@5=0.6936 Hit@10=0.7889 MR=65.9
04:47:19 | INFO    |            -> new best MRR=0.5473 (saved model_best.pt)
04:47:21 | INFO    | epoch  425/3000 | loss=0.0495
04:47:21 | INFO    |            [l2r] MRR=0.5563 Hit@1=0.4348 Hit@5=0.7069 Hit@10=0.8028 MR=65.5 | [r2l] MRR=0.5428 Hit@1=0.4242 Hit@5=0.6853 Hit@10=0.7796 MR=65.2 | [avg] MRR=0.5496 Hit@1=0.4295 Hit@5=0.6961 Hit@10=0.7912 MR=65.3
04:47:21 | INFO    |            -> new best MRR=0.5496 (saved model_best.pt)
04:47:22 | INFO    | epoch  450/3000 | loss=2.7979
04:47:22 | INFO    |            [l2r] MRR=0.5592 Hit@1=0.4379 Hit@5=0.7101 Hit@10=0.8032 MR=65.2 | [r2l] MRR=0.5450 Hit@1=0.4255 Hit@5=0.6898 Hit@10=0.7833 MR=64.2 | [avg] MRR=0.5521 Hit@1=0.4317 Hit@5=0.7000 Hit@10=0.7933 MR=64.7
04:47:23 | INFO    |            -> new best MRR=0.5521 (saved model_best.pt)
04:47:24 | INFO    | epoch  475/3000 | loss=0.0510
04:47:24 | INFO    |            [l2r] MRR=0.5619 Hit@1=0.4414 Hit@5=0.7127 Hit@10=0.8055 MR=64.9 | [r2l] MRR=0.5474 Hit@1=0.4283 Hit@5=0.6928 Hit@10=0.7852 MR=63.7 | [avg] MRR=0.5547 Hit@1=0.4349 Hit@5=0.7027 Hit@10=0.7954 MR=64.3
04:47:25 | INFO    |            -> new best MRR=0.5547 (saved model_best.pt)
04:47:26 | INFO    | epoch  500/3000 | loss=2.7809
04:47:26 | INFO    |            [l2r] MRR=0.5637 Hit@1=0.4428 Hit@5=0.7141 Hit@10=0.8075 MR=64.5 | [r2l] MRR=0.5493 Hit@1=0.4297 Hit@5=0.6950 Hit@10=0.7871 MR=62.8 | [avg] MRR=0.5565 Hit@1=0.4362 Hit@5=0.7045 Hit@10=0.7973 MR=63.7
04:47:27 | INFO    |            -> new best MRR=0.5565 (saved model_best.pt)
04:47:28 | INFO    | epoch  525/3000 | loss=0.0509
04:47:28 | INFO    |            [l2r] MRR=0.5653 Hit@1=0.4447 Hit@5=0.7168 Hit@10=0.8099 MR=64.4 | [r2l] MRR=0.5511 Hit@1=0.4318 Hit@5=0.6968 Hit@10=0.7886 MR=62.3 | [avg] MRR=0.5582 Hit@1=0.4382 Hit@5=0.7068 Hit@10=0.7992 MR=63.4
04:47:29 | INFO    |            -> new best MRR=0.5582 (saved model_best.pt)
04:47:30 | INFO    | epoch  550/3000 | loss=2.7634
04:47:30 | INFO    |            [l2r] MRR=0.5663 Hit@1=0.4451 Hit@5=0.7187 Hit@10=0.8111 MR=64.0 | [r2l] MRR=0.5529 Hit@1=0.4334 Hit@5=0.6990 Hit@10=0.7904 MR=61.5 | [avg] MRR=0.5596 Hit@1=0.4393 Hit@5=0.7088 Hit@10=0.8008 MR=62.8
04:47:30 | INFO    |            -> new best MRR=0.5596 (saved model_best.pt)
04:47:32 | INFO    | epoch  575/3000 | loss=0.0509
04:47:32 | INFO    |            [l2r] MRR=0.5674 Hit@1=0.4463 Hit@5=0.7199 Hit@10=0.8125 MR=63.8 | [r2l] MRR=0.5543 Hit@1=0.4348 Hit@5=0.7001 Hit@10=0.7913 MR=61.0 | [avg] MRR=0.5608 Hit@1=0.4405 Hit@5=0.7100 Hit@10=0.8019 MR=62.4
04:47:32 | INFO    |            -> new best MRR=0.5608 (saved model_best.pt)
04:47:34 | INFO    | epoch  600/3000 | loss=2.7454
04:47:34 | INFO    |            [l2r] MRR=0.5690 Hit@1=0.4476 Hit@5=0.7220 Hit@10=0.8133 MR=63.5 | [r2l] MRR=0.5555 Hit@1=0.4360 Hit@5=0.7024 Hit@10=0.7928 MR=60.3 | [avg] MRR=0.5622 Hit@1=0.4418 Hit@5=0.7122 Hit@10=0.8030 MR=61.9
04:47:34 | INFO    |            -> new best MRR=0.5622 (saved model_best.pt)
04:47:36 | INFO    | epoch  625/3000 | loss=0.0516
04:47:36 | INFO    |            [l2r] MRR=0.5689 Hit@1=0.4466 Hit@5=0.7230 Hit@10=0.8145 MR=63.2 | [r2l] MRR=0.5569 Hit@1=0.4374 Hit@5=0.7024 Hit@10=0.7935 MR=59.9 | [avg] MRR=0.5629 Hit@1=0.4420 Hit@5=0.7127 Hit@10=0.8040 MR=61.5
04:47:36 | INFO    |            -> new best MRR=0.5629 (saved model_best.pt)
04:47:38 | INFO    | epoch  650/3000 | loss=2.7269
04:47:38 | INFO    |            [l2r] MRR=0.5700 Hit@1=0.4479 Hit@5=0.7236 Hit@10=0.8162 MR=62.9 | [r2l] MRR=0.5581 Hit@1=0.4379 Hit@5=0.7033 Hit@10=0.7956 MR=59.2 | [avg] MRR=0.5641 Hit@1=0.4429 Hit@5=0.7135 Hit@10=0.8059 MR=61.0
04:47:38 | INFO    |            -> new best MRR=0.5641 (saved model_best.pt)
04:47:39 | INFO    | epoch  675/3000 | loss=0.0520
04:47:39 | INFO    |            [l2r] MRR=0.5709 Hit@1=0.4483 Hit@5=0.7262 Hit@10=0.8166 MR=62.8 | [r2l] MRR=0.5598 Hit@1=0.4403 Hit@5=0.7048 Hit@10=0.7962 MR=58.8 | [avg] MRR=0.5653 Hit@1=0.4443 Hit@5=0.7155 Hit@10=0.8064 MR=60.8
04:47:40 | INFO    |            -> new best MRR=0.5653 (saved model_best.pt)
04:47:41 | INFO    | epoch  700/3000 | loss=2.7077
04:47:41 | INFO    |            [l2r] MRR=0.5718 Hit@1=0.4491 Hit@5=0.7267 Hit@10=0.8174 MR=62.5 | [r2l] MRR=0.5617 Hit@1=0.4423 Hit@5=0.7053 Hit@10=0.7983 MR=58.4 | [avg] MRR=0.5667 Hit@1=0.4457 Hit@5=0.7160 Hit@10=0.8079 MR=60.4
04:47:42 | INFO    |            -> new best MRR=0.5667 (saved model_best.pt)
04:47:43 | INFO    | epoch  725/3000 | loss=0.0520
