20:33:53 | INFO    | Model: naea | Device: cuda
20:33:54 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
20:33:58 | INFO    | Params: 12.69M
20:33:58 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/logs/naea_zh_en_0_3_20260718-203353
20:33:58 | INFO    | Device: cuda:0 | entities=38960 relations=3024 triples=165556 seed_pairs=4500 test_pairs=10500
20:34:10 | INFO    | epoch    1/500 | loss=1.9834 (kge=0.9536 align=0.2060 pseudo=0.0000)
20:34:21 | INFO    | epoch    2/500 | loss=0.7884 (kge=0.7500 align=0.0077 pseudo=0.0000)
20:34:32 | INFO    | epoch    3/500 | loss=0.6166 (kge=0.5935 align=0.0046 pseudo=0.0000)
20:34:43 | INFO    | epoch    4/500 | loss=0.4977 (kge=0.4796 align=0.0036 pseudo=0.0000)
20:34:54 | INFO    | epoch    5/500 | loss=0.4139 (kge=0.3978 align=0.0032 pseudo=0.0000)
20:35:04 | INFO    | epoch    6/500 | loss=0.3546 (kge=0.3399 align=0.0029 pseudo=0.0000)
20:35:15 | INFO    | epoch    7/500 | loss=0.3113 (kge=0.2979 align=0.0027 pseudo=0.0000)
20:35:26 | INFO    | epoch    8/500 | loss=0.2813 (kge=0.2672 align=0.0028 pseudo=0.0000)
20:35:37 | INFO    | epoch    9/500 | loss=0.2585 (kge=0.2444 align=0.0028 pseudo=0.0000)
20:35:48 | INFO    | epoch   10/500 | loss=0.2399 (kge=0.2271 align=0.0026 pseudo=0.0000) | hard-neg refreshed
